indicator,2013,2017,2020,value,datatype
Total Food System Jobs-LA County,520493.0,586061.0,619200.0,fair,whole
Percent of Total Food System Jobs-LA County,13.0,14.0,10.1,fair,percent
Total Food System Jobs-LA Foodshed,1311483.0,1464450.0,1122740.0,fair,whole
Percent of Total Food System Jobs-LA Foodshed,13.0,15.0,11.2,fair,percent
Average hourly wage of nonsupervisory food system worker-LA County,10.62,12.59,13.09,fair,whole
Average hourly wage of nonsupervisory food system worker-LA Foodshed,10.5,12.55,12.95,fair,whole
Average hourly wage of supervisory food system worker-LA County,18.17,19.23,21.13,fair,whole
Average hourly wage of supervisory food system worker-LA Foodshed,18.46,19.8,21.97,fair,whole
Gap between the living wage and minimum wage for a household with 2 adults & 1 child-LA County,12.07,16.16,16.91,fair,whole
Gap between avg hourly wage of all food system workers and all workers-LA Foodshed,13.26,12.72,13.5,fair,whole
Gap between avg hourly wage of all food system workers and all workers-LA County,14.13,13.52,14.45,fair,whole
Average number of chickens used for meat per farm-California,118675.0,50998.0,63669.0,fair,whole
Average number of hens used for eggs per farm-California,4138.0,2818.0,2169.0,fair,whole
Average number of pigs per farm-California,111.0,78.0,69.0,fair,whole
Average number of cows used for dairy per farm-California,851.0,941.0,1059.0,fair,whole
Reported injuries & illnesses due to ag production and pesticide exposure for agricultural workers-LA Foodshed,60.0,176.0,34.0,fair,whole
California food system workers experiencing food insecurity,18.0,26.5,,fair,percent
California workers experiencing food insecurity,17.0,20.8,,fair,percent
California food system workers on CalFresh,23.0,19.7,,fair,percent
California workers on CalFresh,11.0,16.1,,fair,percent
Nonsupervisory food system workers in California with healthcare ,54.0,67.3,,fair,percent
