indicator,2013,2017,2020,value,datatype
Acres of agricultural land in LA Foodshed,8046054.0,8011770.0,7964494.0,sustainable,whole
Acres of agricultural land converted to urban and built land in LA Foodshed,12599.0,10660.0,15577.0,sustainable,whole
Land in farms in LA County,108463.0,91689.0,57809.0,sustainable,whole
Acres of grazing land in LA County,231287.0,235826.0,239037.0,sustainable,whole
Farms in LA Foodshed,23001.0,20308.0,18117.0,sustainable,whole
Farms in LA County,1734.0,1294.0,1035.0,sustainable,whole
Farms in LA City,26.0,31.0,,sustainable,whole
Average farm size in LA Foodshed (acres),396.0,398.0,408.0,sustainable,whole
Average farm size in LA County (acres),63.0,71.0,56.0,sustainable,whole
Farms transitioning into USDA National Organic Program in LA Foodshed,469.0,130.0,99.0,sustainable,whole
Microfarms in LA Foodshed,7675.0,7369.0,8998.0,sustainable,whole
Microfarms in LA County,446.0,510.0,722.0,sustainable,whole
Percent of Small Farms in LA Foodshed,87.0,87.0,86.0,sustainable,whole
Acres harvested in Small Farms in LA Foodshed,173266.0,167308.0,142844.0,sustainable,whole
Percent of Mid-Sized Farms in LA Foodshed,6.0,5.0,6.0,sustainable,whole
Acres harvested in Mid-Sized Farms in LA Foodshed,156992.0,153007.0,155679.0,sustainable,whole
Percent of Large Farms in LA Foodshed,7.0,8.0,8.0,sustainable,whole
Acres harvested in Large Farms in LA Foodshed,1380895.0,1464320.0,1443227.0,sustainable,whole
Percent of acres harvested in Large Farms,80.7,82.1,82.9,sustainable,percent
Percent of Large Farms by Agricultural Sales in LA Foodshed,9.0,10.0,11.4,sustainable,percent
Percent of Agricultural Sales made by Large Farms,93.0,94.0,94.2,sustainable,percent
Farms with direct sales in LA Foodshed,2043.0,2330.0,2264.0,sustainable,whole
Farms with direct sales in LA County,168.0,210.0,105.0,sustainable,whole
Value of direct sales in LA Foodshed,45842000.0,44916000.0,218719000.0,sustainable,whole
Value of direct sales in LA County,3541000.0,2369000.0,1384000.0,sustainable,whole
"Total fruit, vegetable, and nut production value in LA Foodshed ",11387907856.0,12566318008.0,8146710000.0,sustainable,whole
Total market value of Agricultural Production in LA County,325880000.0,193097000.0,154608000.0,sustainable,whole
Honey Operations with production in LA County,18.0,33.0,33.0,sustainable,whole
Acres of Almond Crops in LA Foodshed,145288.0,158726.0,173996.0,sustainable,whole
Acres of Alfalfa Hay crops in LA Foodshed,281259.0,268436.0,272075.0,sustainable,whole
Women-Operated Farms in LA Foodshed,5098.0,4176.0,8334.0,sustainable,whole
Minority-Operated Farms in LA Foodshed,3181.0,1840.0,2842.0,sustainable,whole
American Indian or Alaska Native Operated Farms,,,236.0,sustainable,whole
Asian Operated Farms,,,1071.0,sustainable,whole
Black or African American Operated Farms,,,115.0,sustainable,whole
Native Hawaiian or Other Pacific Islander operated farm,,,81.0,sustainable,whole
Certified FMs in LA County,148.0,138.0,132.0,sustainable,whole
Certified FMs in LA City,72.0,56.0,40.0,sustainable,whole
Percent of FMs in LA County that accept EBT,39.0,63.0,81.1,sustainable,percent
Percent of FMs in LA City that accept EBT,38.0,96.0,87.5,sustainable,percent
Community Gardens in LA County,118.0,158.0,,sustainable,whole
Community Gardens in LA City,48.0,77.0,,sustainable,whole
School Gardens in LA County,749.0,425.0,,sustainable,whole
School Gardens in LA City,312.0,188.0,,sustainable,whole
Nurseries in LA County,268.0,368.0,,sustainable,whole
Nurseries in LA City,89.0,97.0,,sustainable,whole
Total tons of pesticides applied in LA Foodshed,27945.0,26979.0,23386.0,sustainable,whole
Percent of agricultural pesticides applied in LA Foodshed,87.0,85.0,86.0,sustainable,percent
Percent of agricultural greenhouse gas emissions in CA,7.6,7.9,7.6,sustainable,percent
Percent of agricultural greenhouse gas emissions for livestock production in CA,67.7,66.1,70.0,sustainable,percent
Amount of Residential Food Waste Recycled (Tons) through Bureau of Sanitation Waste Reduction and Recycling Programs,20.0,57.0,,sustainable,whole
Amount of Restaurant Food Waste Recycled (Tons) through Bureau of Sanitation Waste Reduction and Recycling Programs,15492.0,43303.0,,sustainable,whole
Tons of food recovered and redistributed in LA County by Food Finders,4153471.42,3805447.0,,sustainable,whole
Tons of food recovered and redistributed in LA City by Food Finders,642940.0,2953459.0,,sustainable,whole
Pounds of produce recovered in the LA Foodshed by Food Forward,2083546.25,8811283.0,23100000.0,sustainable,whole
Total Food Waste from CalRecycle Disposal Facility,5083364.0,5591179.0,,sustainable,whole
Percent of waste that is food from CalRecycle Disposal Facility,16.5,18.1,,sustainable,percent
Percentage of Certified Organic Farms in LA Foodshed,4.9,5.2,6.7,sustainable,percent
Percentage of Certified Organic Farms in LA County,1.6,2.1,2.9,sustainable,percent
Grocery Stores in LA County,2011,2056,2637,health,whole
          Grocery Stores in South LA,86,88,91,health,whole
          Grocery Stores in East LA,20,19,22,health,whole
          Grocery Stores in West LA,48,54,47,health,whole
Convenience Stores in LA County,621,648,657,health,whole
Liquor Stores in LA County,1135,1172,1198,health,whole
          Liquor Stores in South LA,106,114,119,health,whole
          Liquor Stores in East LA,19,13,13,health,whole
          Liquor Stores in West LA,34,29,32,health,whole
Farms in LA County,182,190,,health,whole
Farms in LA City,26,31,,health,whole
          Urban Farms in South LA,1,9,,health,whole
          Urban Farms in East LA,2,0,,health,whole
          Urban Farms in West LA,2,4,,health,whole
Farms with direct sales in LA County,168,210,105,health,whole
Value of direct sales in LA County,3541000 ,2369000 ,1384000 ,health,whole
Certified FMs in LA County,148,138,132,health,whole
Certified FMs in LA City,72,56,40,health,whole
          FMs in South LA,9,8,5,health,whole
          FMs in East LA,2,1,1,health,whole
          FMs in West LA,16,13,12,health,whole
Community Gardens in LA County,118,158,,health,whole
Community Gardens in LA City,48,77,,health,whole
          Community Gardens in South LA,10,19,,health,whole
          Community Gardens in East LA,1,3,,health,whole
          Community Gardens in West LA,4,5,,health,whole
School gardens in LA County,749,425,,health,whole
School Gardens in LA City,312,188,,health,whole
Nurseries in LA County,268,368,,health,whole
Nurseries in LA City,89,97,,health,whole
Adults often able to find fresh fruits and vegetables in neighborhood,86.70,86.50,86.50,health,percent
Adults often able to afford fresh fruits and vegetables in neighborhood,76.50,75.70,79.20,health,percent
Adults who consume 5+ servings of fruit and vegetables per day,16.20,14.70,12.10,health,percent
Teens who consume 5+ servings of fruit and vegetables per day,24.10,26.70,32.40,health,percent
Children (2-11) who consume 5+ servings of fruit and vegetables per day,25.80,31.20,24.60,health,percent
Adults and children who consume fast food at least once a week,68.50,71.50,72.50,health,percent
Adults who drink at least one soda or sweetened drink a day,35.50,31.40,,health,percent
Children who drink at least one soda or sweetened drink a day,38.30,39.20,37.20,health,percent
Percentage of adults who consume 5 or more servings of fruit and vegetables a day-African-American,12.40,12.10,10.40,health,percent
Percentage of adults who consume 5 or more servings of fruit and vegetables a day-Asian,17.50,11.80,7.20,health,percent
Percentage of adults who consume 5 or more servings of fruit and vegetables a day-Latino,13.00,12.40,9.70,health,percent
Percentage of adults who consume 5 or more servings of fruit and vegetables a day-American Indian/Alaska Native,16.30,11.70,,health,percent
Percentage of adults who consume 5 or more servings of fruit and vegetables a day-Native Hawaiian or Pacific Islander,,,,health,percent
Percentage of adults who consume 5 or more servings of fruit and vegetables a day-White,21.00,20.10,18.10,health,percent
Percentage of adults who consume fast food at least once a week-Antelope Valley,69.50,70.30,79.40,health,percent
Percentage of adults who consume fast food at least once a week-San Fernando,64.00,68.90,74.90,health,percent
Percentage of adults who consume fast food at least once a week-San Gabriel,69.80,71.50,70.80,health,percent
Percentage of adults who consume fast food at least once a week-Metro,63.00,66.70,64.50,health,percent
Percentage of adults who consume fast food at least once a week-South LA,74.30,81.80,71.90,health,percent
Percentage of adults who consume fast food at least once a week-East LA,78.60,82.30,79.60,health,percent
Percentage of adults who consume fast food at least once a week-South Bay,71.10,71.50,69.40,health,percent
Percentage of adults who consume fast food at least once a week-West LA,51.90,52.40,50.00,health,percent
Percentage of adults who drink at least one soda or sweetened drink a day-African-American,35.50,41.00,,health,percent
Percentage of adults who drink at least one soda or sweetened drink a day-Asian,20.60,25.50,,health,percent
Percentage of adults who drink at least one soda or sweetened drink a day-Latino,47.70,39.00,,health,percent
Percentage of adults who drink at least one soda or sweetened drink a day-Native Hawaiian and Other Pacific Islander,0.00,15.70,,health,percent
Percentage of adults who drink at least one soda or sweetened drink a day-White,26.40,21.00,,health,percent
Percent of adults who are overweight-African-American,38.90,32.00,32.50,health,percent
Percent of adults who are overweight-Asian,32.90,30.40,29.50,health,percent
Percent of adults who are overweight-Latino,40.60,39.30,35.80,health,percent
Percent of adults who are overweight-American Indian/Alaskan Native,45.20,54.20,32.50,health,percent
Percent of adults who are overweight-Native Hawaiian or Pacific Islander,45.90,27.30,31.80,health,percent
Percent of adults who are overweight-White,34.00,35.00,34.20,health,percent
Percent of adults who are obese,,,,health,percent
Percent of adults who are obese-All,37.10,35.90,27.70,health,percent
Percent of adults who are obese-African-American,31.00,32.90,32.50,health,percent
Percent of adults who are obese-Asian,8.90,9.30,9.50,health,percent
Percent of adults who are obese-Latino,31.60,30.90,37.00,health,percent
Percent of adults who are obese-American Indian/Alaskan Native,25.80,19.10,38.00,health,percent
Percent of adults who are obese-Native Hawaiian or Pacific Islander,,15.00,52.00,health,percent
Percent of adults who are obese-White,18.00,18.00,21.90,health,percent
"Percent of adults who are obese-Children in grades 5, 7, and 9",22.40,21.20,22.80,health,percent
Percentage of adults ever diagnosed with Diabetes-African-American,12.60,13.70,14.40,health,percent
Percentage of adults ever diagnosed with Diabetes-Asian,9.30,8.20,8.20,health,percent
